key,es,en,source
coverage.stats.title,Cubrimos gran parte del país,We cover a large part of the country,i18n
faq_page.categories.contact.a1,"Puedes solicitar una cotización a través de nuestro formulario de contacto en la página web, por correo electrónico o llamando directamente a nuestras oficinas. Un asesor se pondrá en contacto contigo en menos de 24 horas hábiles.","You can request a quote through our contact form on the website, by email, or by calling our offices directly. An advisor will get in touch with you in less than 24 business hours.",i18n
faq_page.categories.contact.a2,"Sí, realizamos visitas técnicas de evaluación sin costo ni compromiso para proyectos dentro de nuestra zona de cobertura directa. Durante la visita, nuestros ingenieros evalúan el espacio y tus necesidades para elaborar una propuesta personalizada.","Yes, we perform evaluation technical visits at no cost or commitment for projects within our direct coverage zone. During the visit, our engineers evaluate the space and your needs to prepare a customized proposal.",i18n
faq_page.categories.contact.a3,"Nuestro horario de atención es de lunes a viernes de 8:00 a 18:00 horas. Para emergencias o proyectos en curso, contamos con una línea de soporte técnico disponible fuera de horario regular.","Our hours of operation are Monday to Friday from 8:00 AM to 6:00 PM. For emergencies or projects in progress, we have a technical support line available outside regular hours.",i18n
faq_page.categories.contact.a4,"Trabajamos con nuestros clientes para encontrar el mejor arreglo financiero para sus necesidades. Contáctanos para discutir las opciones disponibles incluyendo compra directa, arrendamiento y planes de implementación por fases.","We work with our clients to find the best financial arrangement for their needs. Contact us to discuss available options including direct purchase, leasing, and phased implementation plans.",i18n
faq_page.categories.contact.a5,"Sí, atendemos desde pequeñas y medianas empresas hasta grandes corporativos. Nuestras soluciones son escalables y se adaptan a cualquier volumen de operación, garantizando siempre la misma calidad y compromiso.","Yes, we serve everyone from small and medium enterprises to large corporations. Our solutions are scalable and adapt to any operation volume, always guaranteeing the same quality and commitment.",i18n
faq_page.categories.contact.q1,¿Cómo puedo solicitar una cotización?,How can I request a quote?,i18n
faq_page.categories.contact.q2,¿Ofrecen visitas técnicas sin costo?,Do you offer technical visits at no cost?,i18n
faq_page.categories.contact.q3,¿Cuál es el horario de atención?,What are the hours of operation?,i18n
faq_page.categories.contact.q4,¿Ofrecen opciones de financiamiento o arrendamiento?,Do you offer financing or leasing options?,i18n
faq_page.categories.contact.q5,¿Trabajan con empresas de cualquier tamaño?,Do you work with companies of any size?,i18n
faq_page.categories.contact.title,CONTACTO,CONTACT,i18n
faq_page.categories.coverage.a1,Contamos con cobertura a nivel nacional. Tenemos presencia directa en los principales centros industriales del país y red de distribución que nos permite atender proyectos en cualquier estado de la república mexicana.,We have national coverage. We have a direct presence in the main industrial centers of the country and a distribution network that allows us to serve projects in any state of the Mexican republic.,i18n
faq_page.categories.coverage.a2,"Sí, nuestro equipo de instalación se desplaza a cualquier punto del país. Contamos con cuadrillas especializadas que pueden movilizarse para proyectos en ubicaciones remotas o fuera de las principales zonas metropolitanas.","Yes, our installation team travels to any point in the country. We have specialized crews that can mobilize for projects in remote locations or outside the main metropolitan areas.",i18n
faq_page.categories.coverage.a3,Operamos desde nuestras instalaciones principales y contamos con alianzas estratégicas en diferentes regiones del país que nos permiten ofrecer tiempos de respuesta competitivos sin importar la ubicación de tu proyecto.,We operate from our main facilities and have strategic alliances in different regions of the country that allow us to offer competitive response times regardless of your project's location.,i18n
faq_page.categories.coverage.a4,"Sí, nuestros programas de mantenimiento preventivo e inspección están disponibles a nivel nacional. Coordinamos visitas periódicas con nuestros técnicos certificados para garantizar el óptimo funcionamiento de tus sistemas.","Yes, our preventive maintenance and inspection programs are available nationwide. We coordinate periodic visits with our certified technicians to guarantee the optimal functioning of your systems.",i18n
faq_page.categories.coverage.a5,"Planificamos cuidadosamente la logística de cada proyecto considerando rutas de transporte, accesos y condiciones locales. Incluimos los costos de movilización de forma transparente en nuestras cotizaciones.","We carefully plan the logistics of each project considering transport routes, access, and local conditions. We include mobilization costs transparently in our quotes.",i18n
faq_page.categories.coverage.q1,¿En qué estados de la república tienen cobertura?,In which states of the republic do you have coverage?,i18n
faq_page.categories.coverage.q2,¿Realizan instalaciones fuera de su zona principal?,Do you perform installations outside your main zone?,i18n
faq_page.categories.coverage.q3,¿Tienen sucursales o centros de distribución regionales?,Do you have regional branches or distribution centers?,i18n
faq_page.categories.coverage.q4,¿Ofrecen servicio de mantenimiento en todo el país?,Do you offer maintenance service nationwide?,i18n
faq_page.categories.coverage.q5,¿Cómo manejan la logística para proyectos en zonas alejadas?,How do you handle logistics for projects in remote areas?,i18n
faq_page.categories.coverage.title,COBERTURA EN EL PAÍS,NATIONAL COVERAGE,i18n
faq_page.categories.delivery.a1,Los tiempos de instalación varían según el alcance del proyecto. Una instalación estándar de almacén típicamente toma de 2 a 4 semanas. Ofrecemos planes de despliegue por fases para minimizar la interrupción en tus operaciones.,Installation times vary by project scope. A standard warehouse installation typically takes 2 to 4 weeks. We offer phased deployment plans to minimize disruption to your operations.,i18n
faq_page.categories.delivery.a2,"Desde la consulta inicial hasta la instalación, un proyecto típico toma de 6 a 10 semanas dependiendo de la complejidad y el alcance. Esto incluye diseño, ingeniería, fabricación e instalación. Se dispone de tiempos acelerados para proyectos urgentes.","From initial consultation to installation, a typical project takes 6 to 10 weeks depending on complexity and scope. This includes design, engineering, manufacturing, and installation. Accelerated times are available for urgent projects.",i18n
faq_page.categories.delivery.a3,"Sí, contamos con opciones de fabricación acelerada para proyectos con plazos ajustados. Evaluamos cada caso de forma individual para determinar la viabilidad y los costos asociados a la aceleración del proyecto.","Yes, we have accelerated manufacturing options for projects with tight deadlines. We evaluate each case individually to determine viability and associated costs for project acceleration.",i18n
faq_page.categories.delivery.a4,"Mantenemos comunicación constante sobre el avance del proyecto. En caso de imprevistos, informamos de inmediato y presentamos un plan de contingencia para minimizar el impacto en tus operaciones y cumplir con los plazos acordados.","We maintain constant communication on project progress. In case of unforeseen events, we inform immediately and present a contingency plan to minimize the impact on your operations and meet agreed deadlines.",i18n
faq_page.categories.delivery.a5,"Generalmente entregamos la cotización formal entre 3 y 5 días hábiles después de la visita técnica. Para proyectos más complejos que requieren ingeniería detallada, el plazo puede extenderse hasta 10 días hábiles.","We generally deliver the formal quote between 3 and 5 business days after the technical visit. For more complex projects requiring detailed engineering, the period may extend up to 10 business days.",i18n
faq_page.categories.delivery.q1,¿Cuánto tiempo toma una instalación típica?,How long does a typical installation take?,i18n
faq_page.categories.delivery.q2,¿Cuál es el tiempo de entrega para un nuevo proyecto de racks?,What is the lead time for a new rack project?,i18n
faq_page.categories.delivery.q3,¿Pueden acelerar un proyecto urgente?,Can you accelerate an urgent project?,i18n
faq_page.categories.delivery.q4,¿Qué pasa si hay retrasos en la instalación?,What happens if there are installation delays?,i18n
faq_page.categories.delivery.q5,¿Cuánto toma recibir una cotización después de la visita técnica?,How long does it take to receive a quote after the technical visit?,i18n
faq_page.categories.delivery.title,TIEMPOS DE ENTREGA,DELIVERY TIMES,i18n
faq_page.categories.services.a1,"Ofrecemos una gama completa que incluye rack selectivo, rack drive-in y drive-through, sistemas push-back, racks cantilever, soluciones de mezzanine y sistemas multinivel. Cada solución está diseñada para cumplir con tus requerimientos operativos específicos.","We offer a full range including selective rack, drive-in and drive-through rack, push-back systems, cantilever racks, mezzanine solutions, and multi-level systems. Each solution is designed to meet your specific operational requirements.",i18n
faq_page.categories.services.a2,"Sí. Proporcionamos programas integrales de inspección que incluyen inspecciones anuales certificadas, reportes de evaluación de daños, reemplazo de componentes y auditorías de cumplimiento de seguridad. Las inspecciones regulares son críticas para mantener un ambiente de almacén seguro.","Yes. We provide comprehensive inspection programs including certified annual inspections, damage assessment reports, component replacement, and safety compliance audits. Regular inspections are critical to maintaining a safe warehouse environment.",i18n
faq_page.categories.services.a3,"Por supuesto. Nuestro equipo de ingeniería realiza evaluaciones exhaustivas del sitio, considerando las condiciones del piso, alturas de techo, ubicación de columnas y patrones de flujo de trabajo existentes. Diseñamos soluciones que optimizan tu espacio actual.","Of course. Our engineering team conducts thorough site evaluations, considering floor conditions, ceiling heights, column placement, and existing workflow patterns. We design solutions that optimize your current space.",i18n
faq_page.categories.services.a4,"Sí. Todos nuestros sistemas están diseñados para cumplir o superar los requisitos sísmicos locales. Utilizamos cálculos estructurales y materiales certificados, y cada instalación incluye anclaje y arriostramiento adecuados para zonas sísmicas.","Yes. All our systems are designed to meet or exceed local seismic requirements. We use structural calculations and certified materials, and each installation includes proper anchoring and bracing for seismic zones.",i18n
faq_page.categories.services.a5,"Atendemos una amplia gama de industrias incluyendo logística y distribución, alimentos y bebidas, farmacéutica, automotriz, retail, e-commerce, manufactura y operaciones de almacenamiento en frío.","We serve a wide range of industries including logistics and distribution, food and beverage, pharmaceutical, automotive, retail, e-commerce, manufacturing, and cold storage operations.",i18n
faq_page.categories.services.q1,¿Qué tipos de sistemas de racks ofrecen?,What types of rack systems do you offer?,i18n
faq_page.categories.services.q2,¿Proporcionan servicios de inspección de racks?,Do you provide rack inspection services?,i18n
faq_page.categories.services.q3,¿Pueden trabajar con la distribución existente de mi almacén?,Can you work with my existing warehouse layout?,i18n
faq_page.categories.services.q4,¿Sus sistemas de racks cumplen con los requisitos sísmicos?,Do your rack systems meet seismic requirements?,i18n
faq_page.categories.services.q5,¿Qué industrias atienden?,What industries do you serve?,i18n
faq_page.categories.services.title,SERVICIOS,SERVICES,i18n
faq_page.cta.bg_text,CONTÁCTANOS,CONTACT US,i18n
faq_page.cta.btn,Cotizar Proyecto,Quote Project,i18n
faq_page.cta.description,Contáctanos para una consultoría gratuita y evaluación de tu almacén.,Contact us for a free consultation and warehouse evaluation.,i18n
faq_page.cta.title,INICIA TU PROYECTO HOY,START YOUR PROJECT TODAY,i18n
faq_page.hero.bg_text,FAQ,FAQ,i18n
faq_page.hero.cta,Contáctanos,Contact Us,i18n
faq_page.hero.description,"Encuentra respuestas a las dudas más comunes sobre nuestros servicios, instalación y soporte técnico.","Find answers to the most common questions about our services, installation, and technical support.",i18n
faq_page.hero.mobile_subtitle,FAQ,FAQ,i18n
faq_page.hero.title_p1,PREGUNTAS,FREQUENTLY,i18n
faq_page.hero.title_p2,FRECUENTES,ASKED QUESTIONS,i18n
footer.brand_text,"Soluciones de racks industriales diseñadas, fabricadas e instaladas con precisión. Estructura que eleva tu negocio.","Industrial racking solutions designed, manufactured, and installed with precision. Structure that elevates your business.",i18n
footer.company_about,Nosotros,About Us,i18n
footer.company_blog,Blog,Blog,i18n
footer.company_contact,Contacto,Contact,i18n
footer.company_services,Servicios,Services,i18n
footer.company_title,Empresa,Company,i18n
footer.informative_title,Informativa,Informational,i18n
footer.legal_title,Legales,Legal,i18n
footer.link_about,Nosotros,About Us,i18n
footer.link_blog,Blog,Blog,i18n
footer.link_contact,Contacto,Contact,i18n
footer.link_coverage,Cobertura,Coverage,i18n
footer.link_custom_racks,Racks personalizados,Custom Racks,i18n
footer.link_faq,FAQ,FAQ,i18n
footer.link_home,Inicio,Home,i18n
footer.link_predesigned_racks,Racks prefabricados,Predesigned Racks,i18n
footer.link_privacy_policy,Política de Privacidad,Privacy Policy,i18n
footer.link_services,Servicios,Services,i18n
footer.link_terms_service,Términos de Servicio,Terms of Service,i18n
footer.link_world_class_materials,Materiales de clase mundial,World-Class Materials,i18n
footer.rights_reserved,Flint Racks. Todos los derechos reservados.,Flint Racks. All rights reserved.,i18n
footer.services_cantilever,Rack Cantilever,Cantilever Racking,i18n
footer.services_drivein,Rack Drive-In,Drive-In Racking,i18n
footer.services_links_title,Servicios,Services,i18n
footer.services_pushback,Sistemas Push-Back,Push-Back Systems,i18n
footer.services_selective,Rack Selectivo,Selective Racking,i18n
footer.services_title,Servicios,Services,i18n
footer.slogan,Estructura es Poder,Structure is Power,i18n
footer.studio_credit,Diseñado y desarrollado por tBE Studio,Designed and developed by tBE Studio,i18n
footer.support_faq,Preguntas Frecuentes,FAQ,i18n
footer.support_privacy,Política de Privacidad,Privacy Policy,i18n
footer.support_terms,Términos de Servicio,Terms of Service,i18n
footer.support_title,Soporte,Support,i18n
home.about.cta,Conocer Más,Learn More,i18n
home.about.description,"Flint Racks nació de la convicción de que la eficiencia y la seguridad son la base de toda operación bien diseñada. Estamos enfocados en diseñar, fabricar e implementar racks industriales y soluciones de almacenamiento, respaldadas por conocimiento y experiencia de campo.","Flint Racks was born from the conviction that efficiency and safety are the foundation of any well-designed operation. We are focused on designing, manufacturing, and implementing industrial racks and storage solutions, backed by technical knowledge and field experience.",i18n
home.about.label,Nosotros,About Us,i18n
home.about.title,SOMOS,WE ARE,i18n
home.benefits.b1_desc,"Cada diseño cumple con normativas sísmicas y de seguridad, respaldado por ingenieros certificados.","Every design complies with seismic and safety regulations, backed by certified engineers.",i18n
home.benefits.b1_title_full,INGENIERÍA ESTRUCTURAL CERTIFICADA,CERTIFIED STRUCTURAL ENGINEERING,i18n
home.benefits.b1_title_p1,INGENIERÍA ESTRUCTURAL,CERTIFIED STRUCTURAL,i18n
home.benefits.b1_title_p2,CERTIFICADA,ENGINEERING,i18n
home.benefits.b2_desc,Diseñamos cada proyecto según las necesidades específicas de tu industria y operación.,We design each project according to the specific needs of your industry and operation.,i18n
home.benefits.b2_title_full,SOLUCIONES PERSONALIZADAS,CUSTOMIZED SOLUTIONS,i18n
home.benefits.b2_title_p1,SOLUCIONES,CUSTOMIZED,i18n
home.benefits.b2_title_p2,PERSONALIZADAS,SOLUTIONS,i18n
home.benefits.b3_desc,Acompañamiento completo desde el diseño hasta la instalación y mantenimiento continuo.,Complete support from design and installation to continuous maintenance.,i18n
home.benefits.b3_title_full,GESTIÓN INTEGRAL DE PROYECTOS,COMPREHENSIVE PROJECT MANAGEMENT,i18n
home.benefits.b3_title_p1,GESTIÓN INTEGRAL,COMPREHENSIVE,i18n
home.benefits.b3_title_p2,DE PROYECTOS,PROJECT MANAGEMENT,i18n
home.benefits.title_p1,BENEFICIOS DE TRABAJAR,BENEFITS OF WORKING,i18n
home.benefits.title_p2,CON NOSOTROS,WITH US,i18n
home.blog.subtitle,Últimas Publicaciones,Latest Publications,i18n
home.blog.title,DEL BLOG,FROM THE BLOG,i18n
home.coverage.bg_text,COBERTURA,COVERAGE,i18n
home.coverage.cta,Ver Cobertura,View Coverage,i18n
home.coverage.stat1_desc,Del territorio mexicano cubierto,Of Mexican territory covered,i18n
home.coverage.stat1_value,98%,98%,i18n
home.coverage.stat2_desc,De clientes felices,Happy clients,i18n
home.coverage.stat2_value,98%,98%,i18n
home.coverage.title,Tenemos una cobertura casi total ubicada en puntos estratégicos de la república mexicana,We have almost total coverage located in strategic points of the Mexican Republic,i18n
home.faq.a1,"Ofrecemos una amplia gama de racks industriales incluyendo selectivos, drive-in, drive-through, push-back, dinámicos por gravedad, cantilever y entrepisos. Cada sistema se diseña según las necesidades específicas de almacenamiento y operación de su empresa.","We offer a wide range of industrial racks including selective, drive-in, drive-through, push-back, gravity flow, cantilever, and mezzanines. Each system is designed according to the specific storage and operational needs of your company.",i18n
home.faq.a2,"El tiempo varía según la complejidad y escala del proyecto. Un proyecto estándar puede completarse entre 4 y 8 semanas, incluyendo diseño, fabricación e instalación. Proyectos más grandes pueden requerir fases adicionales que planificamos cuidadosamente para minimizar la interrupción de sus operaciones.","Time varies depending on project complexity and scale. A standard project can be completed in 4 to 8 weeks, including design, manufacturing, and installation. Larger projects may require additional phases which we carefully plan to minimize disruption to your operations.",i18n
home.faq.a3,"Sí, todos nuestros sistemas de racks están diseñados y fabricados cumpliendo con las normativas sísmicas vigentes. Realizamos cálculos estructurales específicos para cada proyecto considerando la zona sísmica, tipo de suelo y cargas de operación.","Yes, all our racking systems are designed and manufactured in compliance with current seismic regulations. We perform specific structural calculations for each project considering the seismic zone, soil type, and operating loads.",i18n
home.faq.a4,"Sí, contamos con programas de mantenimiento preventivo e inspección periódica. Nuestros técnicos certificados realizan revisiones programadas para detectar y corregir cualquier anomalía, garantizando la seguridad y prolongando la vida útil de sus sistemas de almacenamiento.","Yes, we have preventive maintenance and periodic inspection programs. Our certified technicians perform scheduled reviews to detect and correct any anomalies, ensuring safety and extending the life of your storage systems.",i18n
home.faq.a5,"Absolutamente. Nuestro equipo de ingeniería realiza un levantamiento detallado de su espacio para diseñar soluciones a medida que maximicen el aprovechamiento del área disponible, considerando alturas, columnas, accesos y flujo operativo.","Absolutely. Our engineering team conducts a detailed survey of your space to design custom solutions that maximize the use of available area, considering heights, columns, access, and operational flow.",i18n
